move_id,effect,power,type,accuracy,pp,secondary_effect_chance,target,priority,flags,padding_hex,raw_hex
177,43,100,2,95,5,0,0,0,50,000000,2B64025F0500000032000000
178,60,0,12,85,40,0,0,0,22,000000,3C000C552800000016000000
179,99,1,1,100,15,0,0,0,51,000000,630101640F00000033000000
180,100,0,7,100,10,0,0,0,18,000000,640007640A00000012000000
181,5,40,15,100,25,10,8,0,18,000000,05280F64190A080012000000
182,111,0,0,0,10,0,16,3,0,000000,6F0000000A00100300000000
183,103,40,1,100,30,0,0,1,51,000000,672801641E00000133000000
184,60,0,0,90,10,0,0,0,22,000000,3C00005A0A00000016000000
185,17,60,17,0,20,0,0,0,50,000000,113C11001400000032000000
186,49,0,0,75,10,0,0,0,22,000000,3100004B0A00000016000000
187,142,0,0,0,10,0,16,0,8,000000,8E0000000A00100008000000
188,2,90,3,100,10,30,0,0,18,000000,025A03640A1E000012000000
189,73,20,4,100,10,100,0,0,18,000000,491404640A64000012000000
190,73,65,11,85,10,50,0,0,18,000000,49410B550A32000012000000
191,112,0,4,0,20,0,64,0,0,000000,700004001400400000000000
192,6,100,13,50,5,100,0,0,18,000000,06640D320564000012000000
193,113,0,0,100,40,0,0,0,18,000000,710000642800000012000000
194,98,0,7,0,5,0,16,0,0,000000,620007000500100000000000
195,114,0,0,0,5,0,16,0,0,000000,720000000500100000000000
196,70,55,15,95,15,100,8,0,18,000000,46370F5F0F64080012000000
197,111,0,1,0,5,0,16,3,0,000000,6F0001000500100300000000
198,29,25,4,80,10,0,0,0,50,000000,1D1904500A00000032000000
199,94,0,0,100,5,0,0,0,18,000000,5E0000640500000012000000
200,27,90,16,100,15,100,4,0,51,000000,1B5A10640F64040033000000
201,115,0,5,0,10,0,16,0,0,000000,730005000A00100000000000
202,3,60,12,100,5,0,0,0,18,000000,033C0C640500000012000000
203,116,0,0,0,10,0,16,3,0,000000,740000000A00100300000000
204,58,0,0,100,20,0,0,0,22,000000,3A0000641400000016000000
205,117,30,5,90,20,0,0,0,51,000000,751E055A1400000033000000
206,101,40,0,100,40,0,0,0,51,000000,652800642800000033000000
207,118,0,0,90,15,100,0,0,22,000000,7600005A0F64000016000000
208,157,0,0,0,10,0,16,0,10,000000,9D0000000A0010000A000000
209,6,65,13,100,20,30,0,0,19,000000,06410D64141E000013000000
210,119,10,6,95,20,0,0,0,51,000000,770A065F1400000033000000
211,138,70,8,90,25,10,0,0,51,000000,8A46085A190A000033000000
212,106,0,0,100,5,0,0,0,22,000000,6A0000640500000016000000
213,120,0,0,100,15,0,0,0,22,000000,780000640F00000016000000
214,97,0,0,0,10,0,1,0,0,000000,610000000A00010000000000
215,102,0,0,0,5,0,16,0,8,000000,660000000500100008000000
216,121,1,0,100,20,0,0,0,51,000000,790100641400000033000000
217,122,1,0,90,15,0,0,0,18,000000,7A01005A0F00000012000000
218,123,1,0,100,20,0,0,0,51,000000,7B0100641400000033000000
219,124,0,0,0,25,0,16,0,8,000000,7C0000001900100008000000
220,91,0,0,100,20,0,0,0,18,000000,5B0000641400000012000000
221,125,100,10,95,5,50,0,0,18,000000,7D640A5F0532000012000000
222,126,1,4,100,30,0,32,0,50,000000,7E0104641E00200032000000
223,76,100,1,50,5,100,0,0,19,000000,4C6401320564000013000000
224,0,120,6,85,10,0,0,0,51,000000,007806550A00000033000000
225,6,60,16,100,20,30,0,0,50,000000,063C1064141E000032000000
226,127,0,0,0,40,0,16,0,0,000000,7F0000002800100000000000
227,90,0,0,100,5,0,0,0,18,000000,5A0000640500000012000000
228,128,40,17,100,20,0,0,0,19,000000,802811641400000013000000
229,129,20,0,100,40,0,0,0,51,000000,811400642800000033000000
230,24,0,0,100,20,0,8,0,22,000000,180000641400080016000000
231,69,100,8,75,15,30,0,0,19,000000,4564084B0F1E000013000000
232,139,50,8,95,35,10,0,0,19,000000,8B32085F230A000013000000
233,78,70,1,100,10,0,0,-1,51,000000,4E4601640A0000FF33000000
234,132,0,0,0,5,0,16,0,8,000000,840000000500100008000000
235,133,0,12,0,5,0,16,0,8,000000,85000C000500100008000000
236,134,0,0,0,5,0,16,0,8,000000,860000000500100008000000
237,135,1,0,100,15,0,0,0,50,000000,870100640F00000032000000
238,43,100,1,80,5,0,0,0,51,000000,2B6401500500000033000000
239,146,40,16,100,20,20,8,0,50,000000,922810641414080032000000
240,136,0,11,0,5,0,16,0,0,000000,88000B000500100000000000
241,137,0,10,0,5,0,16,0,0,000000,89000A000500100000000000
242,72,80,17,100,15,20,0,0,19,000000,485011640F14000013000000
243,144,1,14,100,20,0,1,-5,16,000000,90010E64140001FB10000000
244,143,0,0,0,10,0,0,0,8,000000,8F0000000A00000008000000
245,103,80,0,100,5,0,0,1,51,000000,675000640500000133000000
246,140,60,5,100,5,10,0,0,19,000000,8C3C0564050A000013000000
247,72,80,7,100,15,20,0,0,18,000000,485007640F14000012000000
248,148,80,14,90,15,0,0,0,0,000000,94500E5A0F00000000000000
249,69,20,1,100,15,50,0,0,19,000000,451401640F32000013000000
250,42,15,11,70,15,100,0,0,50,000000,2A0F0B460F64000032000000
251,154,10,17,100,10,0,0,0,50,000000,9A0A11640A00000032000000
252,158,40,0,100,10,0,0,1,18,000000,9E2800640A00000112000000
253,159,50,0,100,10,100,4,0,50,000000,9F3200640A64040032000000
254,160,0,0,0,10,0,16,0,8,000000,A00000000A00100008000000
255,161,100,0,100,10,0,0,0,34,000000,A16400640A00000022000000
256,162,0,0,0,10,0,16,0,8,000000,A20000000A00100008000000
257,4,100,10,90,10,10,8,0,18,000000,04640A5A0A0A080012000000
258,164,0,15,0,10,0,16,0,2,000000,A4000F000A00100002000000
259,165,0,17,100,15,0,0,0,18,000000,A50011640F00000012000000
260,166,0,17,100,15,0,0,0,22,000000,A60011640F00000016000000
261,167,0,10,75,15,0,0,0,22,000000,A7000A4B0F00000016000000
262,168,0,17,100,10,0,0,0,18,000000,A80011640A00000012000000
263,169,70,0,100,20,0,0,0,19,000000,A94600641400000013000000
264,170,150,1,100,20,0,0,-3,3,000000,AA960164140000FD03000000
265,171,60,0,100,10,0,0,0,19,000000,AB3C00640A00000013000000
266,172,0,0,100,20,0,16,3,0,000000,AC0000641400100300000000
267,173,0,0,95,20,0,1,0,0,000000,AD00005F1400010000000000
268,174,0,13,100,20,0,16,0,8,000000,AE000D641400100008000000
269,175,0,17,100,20,0,0,0,2,000000,AF0011641400000002000000
270,176,0,0,100,20,0,16,5,0,000000,B00000641400100500000000
271,177,0,14,100,10,0,0,0,18,000000,B1000E640A00000012000000
272,178,0,14,100,10,0,0,0,0,000000,B2000E640A00000000000000
273,179,0,0,100,10,0,16,0,2,000000,B30000640A00100002000000
274,180,0,0,100,20,0,1,0,0,000000,B40000641400010000000000
275,181,0,12,100,20,0,16,0,8,000000,B5000C641400100008000000
276,182,120,1,100,5,0,0,0,19,000000,B67801640500000013000000
277,183,0,14,100,15,0,1,4,0,000000,B7000E640F00010400000000
278,184,0,0,100,10,0,16,0,0,000000,B80000640A00100000000000
279,185,60,1,100,10,0,0,-4,51,000000,B93C01640A0000FC33000000
280,186,75,1,100,15,0,0,0,51,000000,BA4B01640F00000033000000
281,187,0,0,100,10,0,0,0,22,000000,BB0000640A00000016000000
282,188,20,17,100,20,100,0,0,19,000000,BC1411641464000013000000
283,189,1,0,100,5,0,0,0,51,000000,BD0100640500000033000000
284,190,150,10,100,5,0,8,0,50,000000,BE960A640500080032000000
285,191,0,14,100,10,0,0,0,18,000000,BF000E640A00000012000000
286,192,0,14,100,10,0,16,0,2,000000,C0000E640A00100002000000
287,193,0,0,100,20,0,16,0,8,000000,C10000641400100008000000
288,194,0,7,100,5,0,16,0,18,000000,C20007640500100012000000
289,195,0,17,100,10,0,1,4,16,000000,C30011640A00010410000000
290,197,70,0,100,20,30,0,0,18,000000,C5460064141E000012000000
291,155,60,11,100,10,0,0,0,51,000000,9B3C0B640A00000033000000
292,29,15,1,100,20,0,0,0,51,000000,1D0F01641400000033000000
293,213,0,0,100,20,0,16,0,8,000000,D50000641400100008000000
294,53,0,6,100,20,0,16,0,8,000000,350006641400100008000000
295,72,70,14,100,5,50,0,0,18,000000,48460E640532000012000000
296,71,70,14,100,5,50,0,0,18,000000,47460E640532000012000000
297,58,0,2,100,15,0,0,0,22,000000,3A0002640F00000016000000
298,199,0,0,100,20,0,32,0,2,000000,C70000641400200002000000
299,200,85,10,90,10,10,0,0,19,000000,C8550A5A0A0A000013000000
300,201,0,4,100,15,0,16,0,0,000000,C90004640F00100000000000
301,117,30,15,90,20,0,0,0,51,000000,751E0F5A1400000033000000
302,150,60,12,100,15,30,0,0,19,000000,963C0C640F1E000013000000
303,32,0,0,100,10,0,16,0,8,000000,200000640A00100008000000
304,0,90,0,100,10,0,8,0,18,000000,005A00640A00080012000000
305,202,50,3,100,15,30,0,0,19,000000,CA3203640F1E000013000000
306,69,75,0,95,10,50,0,0,19,000000,454B005F0A32000013000000
307,80,150,10,90,5,0,0,0,50,000000,50960A5A0500000032000000
308,80,150,11,90,5,0,0,0,50,000000,50960B5A0500000032000000
309,139,100,8,85,10,20,0,0,51,000000,8B6408550A14000033000000
310,150,30,7,100,15,30,0,0,19,000000,961E07640F1E000013000000
311,203,50,0,100,10,0,0,0,50,000000,CB3200640A00000032000000
312,102,0,12,0,5,0,16,0,8,000000,66000C000500100008000000
313,62,0,17,100,20,0,0,0,22,000000,3E0011641400000016000000
314,43,55,2,95,25,0,8,0,50,000000,2B37025F1900080032000000
315,204,140,10,90,5,100,0,0,51,000000,CC8C0A5A0564000033000000
316,113,0,0,100,40,0,0,0,18,000000,710000642800000012000000
317,70,50,5,80,10,100,0,0,18,000000,463205500A64000012000000
318,140,60,6,100,5,10,0,0,50,000000,8C3C0664050A000032000000
319,62,0,8,85,40,0,0,0,22,000000,3E0008552800000016000000
320,1,0,12,55,15,0,0,0,22,000000,01000C370F00000016000000
321,205,0,0,100,20,0,0,0,54,000000,CD0000641400000036000000
322,206,0,14,0,20,0,16,0,8,000000,CE000E001400100008000000
323,190,150,11,100,5,0,8,0,18,000000,BE960B640500080012000000
324,76,75,6,100,15,10,0,0,50,000000,4C4B06640F0A000032000000
325,17,60,7,0,20,0,0,0,51,000000,113C07001400000033000000
326,150,80,14,100,30,10,0,0,18,000000,96500E641E0A000012000000
327,207,85,1,90,15,0,0,0,51,000000,CF55015A0F00000033000000
328,42,15,4,70,15,100,0,0,50,000000,2A0F04460F64000032000000
329,38,1,15,30,5,0,0,0,18,000000,26010F1E0500000012000000
330,73,95,11,85,10,30,8,0,50,000000,495F0B550A1E080032000000
331,29,10,12,100,30,0,0,0,50,000000,1D0A0C641E00000032000000
332,17,60,2,0,20,0,0,0,51,000000,113C02001400000033000000
333,29,10,15,100,30,0,0,0,50,000000,1D0A0F641E00000032000000
334,51,0,8,0,15,0,16,0,8,000000,330008000F00100008000000
335,106,0,0,100,5,0,0,0,22,000000,6A0000640500000016000000
336,10,0,0,0,40,0,16,0,8,000000,0A0000002800100008000000
337,0,80,16,100,15,0,0,0,51,000000,005010640F00000033000000
338,80,150,12,90,5,0,0,0,50,000000,50960C5A0500000032000000
339,208,0,1,0,20,0,16,0,8,000000,D00001001400100008000000
340,155,85,2,85,5,30,0,0,51,000000,9B550255051E000033000000
341,70,55,4,95,15,100,0,0,50,000000,4637045F0F64000032000000
342,209,50,3,100,25,10,0,0,51,000000,D1320364190A000033000000
343,105,40,0,100,40,100,0,0,18,000000,692800642864000012000000
344,198,120,13,100,15,0,0,0,51,000000,C6780D640F00000033000000
345,17,60,12,0,20,0,0,0,50,000000,113C0C001400000032000000
346,210,0,11,100,15,0,16,0,0,000000,D2000B640F00100000000000
347,211,0,14,0,20,0,16,0,8,000000,D3000E001400100008000000
348,43,70,12,100,15,0,0,0,51,000000,2B460C640F00000033000000
349,212,0,16,0,20,0,16,0,8,000000,D40010001400100008000000
350,29,25,5,80,10,0,0,0,50,000000,1D1905500A00000032000000
351,17,60,13,0,20,0,0,0,50,000000,113C0D001400000032000000
352,76,60,11,100,20,20,0,0,50,000000,4C3C0B641414000032000000
353,148,120,8,85,5,0,0,0,0,000000,947808550500000000000000
354,204,140,14,90,5,100,0,0,50,000000,CC8C0E5A0564000032000000
