internal_id	species_name	base_hp	base_attack	base_defense	base_speed	base_sp_attack	base_sp_defense	bst	type1	type2	catch_rate	exp_yield	ev_hp	ev_attack	ev_defense	ev_speed	ev_sp_attack	ev_sp_defense	ev_reserved	item_common	item_rare	gender_ratio	egg_cycles	base_friendship	growth_rate	egg_group1	egg_group2	ability1	ability2	safari_zone_flee_rate	body_color	no_flip	padding_hex
0	??????????	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0000
1	BULBASAUR	45	49	49	45	65	65	318	12	3	45	64	0	0	0	0	1	0	0	0	0	31	20	70	3	1	7	65	0	0	3	0	0000
2	IVYSAUR	60	62	63	60	80	80	405	12	3	45	141	0	0	0	0	1	1	0	0	0	31	20	70	3	1	7	65	0	0	3	0	0000
3	VENUSAUR	80	82	83	80	100	100	525	12	3	45	208	0	0	0	0	2	1	0	0	0	31	20	70	3	1	7	65	0	0	3	0	0000
4	CHARMANDER	39	52	43	65	60	50	309	10	10	45	65	0	0	0	1	0	0	0	0	0	31	20	70	3	1	14	66	0	0	0	0	0000
5	CHARMELEON	58	64	58	80	80	65	405	10	10	45	142	0	0	0	1	1	0	0	0	0	31	20	70	3	1	14	66	0	0	0	0	0000
6	CHARIZARD	78	84	78	100	109	85	534	10	2	45	209	0	0	0	0	3	0	0	0	0	31	20	70	3	1	14	66	0	0	0	0	0000
7	SQUIRTLE	44	48	65	43	50	64	314	11	11	45	66	0	0	1	0	0	0	0	0	0	31	20	70	3	1	2	67	0	0	1	0	0000
8	WARTORTLE	59	63	80	58	65	80	405	11	11	45	143	0	0	1	0	0	1	0	0	0	31	20	70	3	1	2	67	0	0	1	0	0000
9	BLASTOISE	79	83	100	78	85	105	530	11	11	45	210	0	0	0	0	0	3	0	0	0	31	20	70	3	1	2	67	0	0	1	0	0000
10	CATERPIE	45	30	35	45	20	20	195	6	6	255	53	1	0	0	0	0	0	0	0	0	127	15	70	0	3	3	19	0	0	3	0	0000
11	METAPOD	50	20	55	30	25	25	205	6	6	120	72	0	0	2	0	0	0	0	0	0	127	15	70	0	3	3	61	0	0	3	0	0000
12	BUTTERFREE	60	45	50	70	80	80	385	6	2	45	160	0	0	0	0	2	1	0	0	188	127	15	70	0	3	3	14	0	0	8	0	0000
13	WEEDLE	40	35	30	50	20	20	195	6	3	255	52	0	0	0	1	0	0	0	0	0	127	15	70	0	3	3	19	0	0	5	0	0000
14	KAKUNA	45	25	50	35	25	25	205	6	3	120	71	0	0	2	0	0	0	0	0	0	127	15	70	0	3	3	61	0	0	2	0	0000
15	BEEDRILL	65	80	40	75	45	80	385	6	3	45	159	0	2	0	0	0	1	0	0	211	127	15	70	0	3	3	68	0	0	2	0	0000
16	PIDGEY	40	45	40	56	35	35	251	0	2	255	55	0	0	0	1	0	0	0	0	0	127	15	70	3	4	4	51	0	0	5	0	0000
17	PIDGEOTTO	63	60	55	71	50	50	349	0	2	120	113	0	0	0	2	0	0	0	0	0	127	15	70	3	4	4	51	0	0	5	0	0000
18	PIDGEOT	83	80	75	91	70	70	469	0	2	45	172	0	0	0	3	0	0	0	0	0	127	15	70	3	4	4	51	0	0	5	0	0000
