internal_id,base_hp,base_attack,base_defense,base_speed,base_sp_attack,base_sp_defense,bst,type1,type2,catch_rate,exp_yield,ev_hp,ev_attack,ev_defense,ev_speed,ev_sp_attack,ev_sp_defense,ev_reserved,item_common,item_rare,gender_ratio,egg_cycles,base_friendship,growth_rate,egg_group1,egg_group2,ability1,ability2,safari_zone_flee_rate,body_color,no_flip,padding_hex,raw_hex
206,100,70,70,45,65,65,415,0,0,190,75,1,0,0,0,0,0,0,0,0,127,20,70,0,5,5,32,50,0,2,0,0000,6446462D41410000BE4B0100000000007F1446000505203200020000
207,65,75,105,85,35,65,430,4,2,60,108,0,0,1,0,0,0,0,0,0,127,20,70,3,3,3,52,8,0,6,0,0000,414B6955234104023C6C1000000000007F1446030303340800060000
208,75,85,200,30,55,65,510,8,4,25,196,0,0,2,0,0,0,0,0,199,127,25,70,0,10,10,69,5,0,7,0,0000,4B55C81E3741080419C420000000C7007F1946000A0A450500070000
209,60,80,50,30,40,40,300,0,0,190,63,0,1,0,0,0,0,0,0,0,191,20,70,4,5,6,22,50,0,9,0,0000,3C50321E28280000BE3F040000000000BF1446040506163200090000
210,90,120,75,45,60,60,450,0,0,75,178,0,2,0,0,0,0,0,0,0,191,20,70,4,5,6,22,22,0,6,0,0000,5A784B2D3C3C00004BB2080000000000BF1446040506161600060000
211,65,95,75,85,55,55,430,11,3,45,100,0,1,0,0,0,0,0,0,0,127,20,70,0,12,12,38,33,0,7,0,0000,415F4B5537370B032D640400000000007F1446000C0C262100070000
212,70,130,100,65,55,80,500,6,8,25,200,0,2,0,0,0,0,0,0,0,127,25,70,0,3,3,68,0,0,0,0,0000,468264413750060819C80800000000007F1946000303440000000000
213,20,10,230,5,10,230,505,6,5,190,80,0,0,1,0,0,1,0,139,139,127,20,70,3,3,3,5,0,0,2,0,0000,140AE6050AE60605BE5010048B008B007F1446030303050000020000
214,80,125,75,85,40,95,500,6,1,45,200,0,2,0,0,0,0,0,0,0,127,25,70,5,3,3,68,62,8,1,0,0000,507D4B55285F06012DC80800000000007F1946050303443E08010000
215,55,95,55,115,35,75,430,17,15,60,132,0,0,0,1,0,0,0,0,183,127,20,35,3,5,5,39,51,0,4,1,0000,375F3773234B110F3C8440000000B7007F1423030505273300840000
216,60,80,50,40,50,50,330,0,0,120,124,0,1,0,0,0,0,0,0,0,127,20,70,0,5,5,53,0,0,5,1,0000,3C50322832320000787C0400000000007F1446000505350000850000
217,90,130,75,55,75,75,500,0,0,60,189,0,2,0,0,0,0,0,0,0,127,20,70,0,5,5,62,0,0,5,0,0000,5A824B374B4B00003CBD0800000000007F14460005053E0000050000
218,40,40,40,20,70,40,250,10,10,190,78,0,0,0,0,1,0,0,0,0,127,20,70,0,11,11,40,49,0,0,0,0000,2828281446280A0ABE4E0001000000007F1446000B0B283100000000
219,50,50,120,30,80,80,410,10,5,75,154,0,0,2,0,0,0,0,0,0,127,20,70,0,11,11,40,49,0,0,0,0000,3232781E50500A054B9A2000000000007F1446000B0B283100000000
220,50,50,40,50,30,30,250,15,4,225,78,0,1,0,0,0,0,0,0,0,127,20,70,5,5,5,12,0,0,5,0,0000,323228321E1E0F04E14E0400000000007F14460505050C0000050000
221,100,100,80,50,60,60,450,15,4,75,160,1,1,0,0,0,0,0,0,0,127,20,70,5,5,5,12,0,0,5,0,0000,646450323C3C0F044BA00500000000007F14460505050C0000050000
222,55,55,85,35,65,85,380,11,5,60,113,0,0,1,0,0,1,0,0,48,191,20,70,4,2,9,55,30,0,9,0,0000,3737552341550B053C71100400003000BF1446040209371E00090000
223,35,65,35,65,65,35,300,11,11,190,78,0,0,0,0,1,0,0,0,0,127,20,70,0,2,12,55,0,0,7,0,0000,2341234141230B0BBE4E0001000000007F144600020C370000070000
224,75,105,75,45,105,75,480,11,11,75,164,0,1,0,0,1,0,0,0,0,127,20,70,0,2,12,21,0,0,0,0,0000,4B694B2D694B0B0B4BA40401000000007F144600020C150000000000
225,45,55,45,75,65,45,330,15,2,45,183,0,0,0,1,0,0,0,0,0,127,20,70,4,2,5,72,55,0,0,0,0000,2D372D4B412D0F022DB74000000000007F1446040205483700000000
226,65,40,70,70,80,140,465,11,2,25,168,0,0,0,0,0,2,0,0,0,127,25,70,5,2,2,33,11,0,6,0,0000,41284646508C0B0219A80008000000007F1946050202210B00060000
227,65,80,140,70,40,70,465,8,2,25,168,0,0,2,0,0,0,0,0,0,127,25,70,5,4,4,51,5,0,7,0,0000,41508C462846080219A82000000000007F1946050404330500070000
228,45,60,30,65,80,50,330,17,10,120,114,0,0,0,0,1,0,0,0,0,127,20,35,5,5,5,48,18,0,4,0,0000,2D3C1E415032110A78720001000000007F1423050505301200040000
229,75,90,50,95,110,80,500,17,10,45,204,0,0,0,0,2,0,0,0,0,127,20,35,5,5,5,48,18,0,4,0,0000,4B5A325F6E50110A2DCC0002000000007F1423050505301200040000
230,75,95,95,85,95,95,540,11,16,45,207,0,1,0,0,1,1,0,0,201,127,20,70,0,2,14,33,0,0,1,0,0000,4B5F5F555F5F0B102DCF04050000C9007F144600020E210000010000
231,90,60,60,40,40,40,330,4,4,120,124,1,0,0,0,0,0,0,0,0,127,20,70,0,5,5,53,0,10,1,0,0000,5A3C3C2828280404787C0100000000007F144600050535000A010000
232,90,120,120,50,60,60,500,4,4,60,189,0,1,1,0,0,0,0,0,0,127,20,70,0,5,5,5,0,0,7,0,0000,5A7878323C3C04043CBD1400000000007F1446000505050000070000
233,85,80,90,60,105,95,515,0,0,45,180,0,0,0,0,2,0,0,0,0,255,20,70,0,10,10,36,0,0,0,0,0000,55505A3C695F00002DB4000200000000FF1446000A0A240000000000
234,73,95,62,85,85,65,465,0,0,45,165,0,1,0,0,0,0,0,0,0,127,20,70,5,5,5,22,0,0,5,0,0000,495F3E55554100002DA50400000000007F1446050505160000050000
235,55,20,35,75,20,45,250,0,0,45,106,0,0,0,1,0,0,0,0,0,127,20,70,4,5,5,20,0,0,8,0,0000,3714234B142D00002D6A4000000000007F1446040505140000080000
236,35,35,35,35,35,35,210,1,1,75,91,0,1,0,0,0,0,0,0,0,0,25,70,0,15,15,62,0,0,6,0,0000,23232323232301014B5B040000000000001946000F0F3E0000060000
237,50,95,95,70,35,110,455,1,1,45,138,0,0,0,0,0,2,0,0,0,0,25,70,0,8,8,22,0,0,5,0,0000,325F5F46236E01012D8A000800000000001946000808160000050000
238,45,30,15,65,85,65,305,15,14,45,87,0,0,0,0,1,0,0,137,137,254,25,70,0,15,15,12,0,0,9,0,0000,2D1E0F4155410F0E2D57000189008900FE1946000F0F0C0000090000
239,45,63,37,95,65,55,360,13,13,45,106,0,0,0,1,0,0,0,0,0,63,25,70,0,15,15,9,0,0,2,1,0000,2D3F255F41370D0D2D6A4000000000003F1946000F0F090000820000
240,45,75,37,83,70,55,365,10,10,45,117,0,0,0,1,0,0,0,136,136,63,25,70,0,15,15,49,0,0,0,0,0000,2D4B255346370A0A2D754000880088003F1946000F0F310000000000
241,95,80,105,100,40,70,490,0,0,45,200,0,0,2,0,0,0,0,29,29,254,20,70,5,5,5,47,0,0,9,0,0000,5F506964284600002DC820001D001D00FE14460505052F0000090000
242,255,10,10,55,75,135,540,0,0,30,255,2,0,0,0,0,0,0,0,197,254,40,140,4,6,6,30,32,0,9,0,0000,FF0A0A374B8700001EFF02000000C500FE288C0406061E2000090000
243,90,85,75,115,115,100,580,13,13,3,216,0,0,0,2,1,0,0,0,0,255,80,35,5,15,15,46,0,0,2,0,0000,5A554B7373640D0D03D8800100000000FF5023050F0F2E0000020000
244,115,115,85,100,90,75,580,10,10,3,217,1,2,0,0,0,0,0,0,0,255,80,35,5,15,15,46,0,0,5,0,0000,737355645A4B0A0A03D9090000000000FF5023050F0F2E0000050000
245,100,75,115,85,90,115,580,11,11,3,215,0,0,1,0,0,2,0,0,0,255,80,35,5,15,15,46,0,0,1,0,0000,644B73555A730B0B03D7100800000000FF5023050F0F2E0000010000
246,50,64,50,41,45,50,300,5,4,45,67,0,1,0,0,0,0,0,0,0,127,40,35,5,1,1,62,0,0,3,0,0000,324032292D3205042D430400000000007F28230501013E0000030000
247,70,84,70,51,65,70,410,5,4,45,144,0,2,0,0,0,0,0,0,0,127,40,35,5,1,1,61,0,0,7,0,0000,46544633414605042D900800000000007F28230501013D0000070000
248,100,134,110,61,95,100,600,5,17,45,218,0,3,0,0,0,0,0,0,0,127,40,35,5,1,1,45,0,0,3,0,0000,64866E3D5F6405112DDA0C00000000007F28230501012D0000030000
249,106,90,130,110,90,154,680,14,14,3,220,0,0,0,0,0,3,0,0,0,255,120,0,5,15,15,46,0,0,8,0,0000,6A5A826E5A9A0E0E03DC000C00000000FF7800050F0F2E0000080000
250,106,130,90,90,110,154,680,10,2,3,220,0,0,0,0,0,3,0,45,45,255,120,0,5,15,15,46,0,0,0,0,0000,6A825A5A6E9A0A0203DC000C2D002D00FF7800050F0F2E0000000000
251,100,100,100,100,100,100,600,14,12,45,64,3,0,0,0,0,0,0,141,141,255,120,100,3,15,15,30,0,0,3,0,0000,6464646464640E0C2D4003008D008D00FF7864030F0F1E0000030000
252,50,150,50,150,150,50,600,0,0,3,1,2,2,2,2,2,2,0,0,0,255,120,0,0,15,15,0,0,0,4,0,0000,32963296963200000301AA0A00000000FF7800000F0F000000040000
253,50,150,50,150,150,50,600,0,0,3,1,2,2,2,2,2,2,0,0,0,255,120,0,0,15,15,0,0,0,4,0,0000,32963296963200000301AA0A00000000FF7800000F0F000000040000
254,50,150,50,150,150,50,600,0,0,3,1,2,2,2,2,2,2,0,0,0,255,120,0,0,15,15,0,0,0,4,0,0000,32963296963200000301AA0A00000000FF7800000F0F000000040000
255,50,150,50,150,150,50,600,0,0,3,1,2,2,2,2,2,2,0,0,0,255,120,0,0,15,15,0,0,0,4,0,0000,32963296963200000301AA0A00000000FF7800000F0F000000040000
256,50,150,50,150,150,50,600,0,0,3,1,2,2,2,2,2,2,0,0,0,255,120,0,0,15,15,0,0,0,4,0,0000,32963296963200000301AA0A00000000FF7800000F0F000000040000
257,50,150,50,150,150,50,600,0,0,3,1,2,2,2,2,2,2,0,0,0,255,120,0,0,15,15,0,0,0,4,0,0000,32963296963200000301AA0A00000000FF7800000F0F000000040000
258,50,150,50,150,150,50,600,0,0,3,1,2,2,2,2,2,2,0,0,0,255,120,0,0,15,15,0,0,0,4,0,0000,32963296963200000301AA0A00000000FF7800000F0F000000040000
259,50,150,50,150,150,50,600,0,0,3,1,2,2,2,2,2,2,0,0,0,255,120,0,0,15,15,0,0,0,4,0,0000,32963296963200000301AA0A00000000FF7800000F0F000000040000
260,50,150,50,150,150,50,600,0,0,3,1,2,2,2,2,2,2,0,0,0,255,120,0,0,15,15,0,0,0,4,0,0000,32963296963200000301AA0A00000000FF7800000F0F000000040000
261,50,150,50,150,150,50,600,0,0,3,1,2,2,2,2,2,2,0,0,0,255,120,0,0,15,15,0,0,0,4,0,0000,32963296963200000301AA0A00000000FF7800000F0F000000040000
262,50,150,50,150,150,50,600,0,0,3,1,2,2,2,2,2,2,0,0,0,255,120,0,0,15,15,0,0,0,4,0,0000,32963296963200000301AA0A00000000FF7800000F0F000000040000
263,50,150,50,150,150,50,600,0,0,3,1,2,2,2,2,2,2,0,0,0,255,120,0,0,15,15,0,0,0,4,0,0000,32963296963200000301AA0A00000000FF7800000F0F000000040000
264,50,150,50,150,150,50,600,0,0,3,1,2,2,2,2,2,2,0,0,0,255,120,0,0,15,15,0,0,0,4,0,0000,32963296963200000301AA0A00000000FF7800000F0F000000040000
265,50,150,50,150,150,50,600,0,0,3,1,2,2,2,2,2,2,0,0,0,255,120,0,0,15,15,0,0,0,4,0,0000,32963296963200000301AA0A00000000FF7800000F0F000000040000
266,50,150,50,150,150,50,600,0,0,3,1,2,2,2,2,2,2,0,0,0,255,120,0,0,15,15,0,0,0,4,0,0000,32963296963200000301AA0A00000000FF7800000F0F000000040000
267,50,150,50,150,150,50,600,0,0,3,1,2,2,2,2,2,2,0,0,0,255,120,0,0,15,15,0,0,0,4,0,0000,32963296963200000301AA0A00000000FF7800000F0F000000040000
268,50,150,50,150,150,50,600,0,0,3,1,2,2,2,2,2,2,0,0,0,255,120,0,0,15,15,0,0,0,4,0,0000,32963296963200000301AA0A00000000FF7800000F0F000000040000
269,50,150,50,150,150,50,600,0,0,3,1,2,2,2,2,2,2,0,0,0,255,120,0,0,15,15,0,0,0,4,0,0000,32963296963200000301AA0A00000000FF7800000F0F000000040000
270,50,150,50,150,150,50,600,0,0,3,1,2,2,2,2,2,2,0,0,0,255,120,0,0,15,15,0,0,0,4,0,0000,32963296963200000301AA0A00000000FF7800000F0F000000040000
